,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
208871,41:29.1,30.440001000000002,110.040474,0.0,-0.134048,-0.8579100000000001,-0.109894,0.8752459999999999,32.838543,-117.17246000000002,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
208905,41:33.2,29.940001000000002,106.99805500000001,0.0,-0.138382,-0.818817,-0.075012,0.833809,32.839255,-117.17289099999999,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
208906,41:33.3,29.969998999999998,106.81848899999999,0.0,-0.069885,-1.12648,-0.139282,1.137208,32.839496999999994,-117.17303600000001,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
208988,41:41.9,30.370001000000002,100.7967,0.0,0.004959000000000001,-1.122208,-0.218521,1.1432959999999999,32.841418,-117.174217,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
208989,41:42.1,30.370001000000002,100.7967,0.0,0.086868,-1.217163,-0.207352,1.237751,32.841418,-117.174217,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209020,41:45.7,30.209999,98.349861,0.0,-0.17724600000000001,-1.1940309999999998,-0.149277,1.21631,32.842412,-117.1748,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209021,41:45.8,30.209999,98.349861,0.0,-0.111877,-1.212402,-0.036316,1.2180950000000001,32.842412,-117.1748,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209048,41:49.0,29.940001000000002,96.588753,0.0,-0.196701,-0.8372649999999999,0.001999,0.8600629999999999,32.843138,-117.175242,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209049,41:49.1,29.940001000000002,96.588753,0.0,-0.196701,-0.8372649999999999,0.001999,0.8600629999999999,32.843138,-117.175242,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209083,41:53.1,30.65,94.956978,0.0,0.082169,-1.162064,-0.204407,1.182762,32.844125,-117.175832,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209084,41:53.1,30.67,94.59949499999999,0.0,0.042297,-1.170959,-0.090927,1.175246,32.84437,-117.175983,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209102,41:55.1,30.6,93.70179,0.0,-0.152756,-0.822449,-0.076874,0.840039,32.844848,-117.17628799999999,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209103,41:55.2,30.6,93.70179,0.0,-0.160172,-0.814606,-0.16336099999999998,0.846123,32.844848,-117.17628799999999,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209112,41:56.2,31.0,93.50110600000001,0.0,-0.027206,-1.255798,-0.06395,1.2577200000000002,32.845096000000005,-117.17643400000001,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209113,41:56.2,31.0,93.50110600000001,0.0,-0.027206,-1.255798,-0.06395,1.2577200000000002,32.845096000000005,-117.17643400000001,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209136,41:58.6,31.07,93.20063,0.0,0.060013,-1.155563,-0.255035,1.184893,32.845591,-117.176736,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209137,41:58.8,31.07,93.20063,0.0,-0.12356600000000001,-1.133102,-0.10943599999999999,1.145061,32.845591,-117.176736,305.16015600000003,45.660688,0.0,0.06514,Zhisen,True
209166,42:01.9,29.85,93.88758100000001,0.0,-0.044861,-1.142441,-0.26355,1.1733040000000001,32.846334000000006,-117.177176,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209167,42:02.0,29.85,93.88758100000001,0.0,-0.044861,-1.142441,-0.26355,1.1733040000000001,32.846334000000006,-117.177176,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209168,42:02.3,29.85,93.88758100000001,0.0,0.273407,-1.427933,-0.22045900000000002,1.470492,32.846334000000006,-117.177176,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209171,42:02.6,29.83,93.94678499999999,0.0,0.071274,-1.14949,-0.157349,1.162397,32.846574,-117.17731599999999,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209172,42:02.7,29.83,93.94678499999999,0.0,0.071274,-1.14949,-0.157349,1.162397,32.846574,-117.17731599999999,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209177,42:03.2,29.379998999999998,94.118965,0.0,-0.00047300000000000006,-0.761337,0.224915,0.7938649999999999,32.846812,-117.17745500000001,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209178,42:03.3,29.379998999999998,94.118965,0.0,-0.00047300000000000006,-0.761337,0.224915,0.7938649999999999,32.846812,-117.17745500000001,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209181,42:03.6,29.379998999999998,94.118965,0.0,0.021988,-1.133713,-0.320984,1.178482,32.846812,-117.17745500000001,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209182,42:03.6,29.379998999999998,94.118965,0.0,0.06695599999999999,-1.147232,0.063782,1.1509530000000001,32.846812,-117.17745500000001,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
209198,42:05.2,29.35,94.134895,0.0,0.07208300000000001,-1.138046,-0.16053800000000001,1.151572,32.8473,-117.177728,304.05334500000004,37.326427,0.0,0.06514,Zhisen,True
